,id,condition,useful,mins,other,reuse,clarity,benefit,interest,learn,all,id,d1,d2,d3,d4,d5,d6,s1,s2,s3,s4,s5,s6,d,s,num_stop,total_words
0,558af269fdf99b7dfef4d7bd,MC,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,do a Bible study finish Bible study and feel fulfilled I'll do the Bible study I've been meaning to do for a while. I'll feel fulfilled and closer to God. ,558af269fdf99b7dfef4d7bd,2.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,16,35
1,55b1add5fdf99b6731f04c5a,MC,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,I want to clean my house I will get everything tidy I will feel better in a nice clean house,55b1add5fdf99b6731f04c5a,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,9,20
2,5626a6cfddff3c0011bcd3d8,I,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Eat healthy and exercise I burn more calories than I eat I feel accomplished and good about mysefl,5626a6cfddff3c0011bcd3d8,2.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,8,18
3,56a5da6181a8ca000d3e7f40,MC,4.0,1.0,4.0,3.0,2.0,3.0,5.0,4.0,"Spend quality time with my cat My cat appears happy When my cat is happy, he is laying next to me and purring. He also becomes less aggressive; when I'm away from him for long periods of time he gets bored and is not as nice.",56a5da6181a8ca000d3e7f40,2.0,5.0,5.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,23,51
4,56df2ea2452e1300056bc7df,MC,3.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,"Go out to eat Care Free  Happy, no problems",56df2ea2452e1300056bc7df,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3,10
5,57237767844581001202947a,I,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,Make 25 dollars I have started my goal I would feel like i would want to do more in order to make more. I would be happy with myself and feel accomplished ,57237767844581001202947a,2.0,5.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,16,33
6,57b771677bcf1a00013f2ba8,I,2.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,Find enthusiasm to do something. I would do something productive. I imagine feeling interesting in doing something. Maybe an art poject or a digital one. I see myself feeling creative and inspired and ecstatic in creating and being entertained. I then see that energy continue on as I complete some tasks or chores I have been putting off.,57b771677bcf1a00013f2ba8,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,29,64
7,58ae2c4ed6a2220001179f7c,I,5.0,1.0,4.0,5.0,5.0,6.0,6.0,5.0,"I must run 8.4 miles tomorrow morning. I will feel relief when I'm done, as it takes 100% effort. I know every step of the way, I think about it in five separate parts, and I have to make sure I get started at about 6 a.m. so I'm not dying of heat exhaustion by the time I get finished.",58ae2c4ed6a2220001179f7c,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,28,69
8,599b15bcd0bcd10001dd92d8,MC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Go hiking  Accomplished and possibly slightly at peace  I'll better because I've worked out twice today and actually left the house ,599b15bcd0bcd10001dd92d8,2.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,3.0,3.0,8,23
9,59f78f90a764fc000135f6e6,MC,5.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,Take care of my garden Happy and productive I would feel really happy because the plants I took so long planting and caring for would be in good shape. I would spend a lot of time just walking through the garden and admiring the plants.,59f78f90a764fc000135f6e6,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,20,47
